Days;L;M;S;P01;P1;P3;P5;P10;P15;P25;P50;P75;P85;P90;P95;P97;P99;P999;SD4neg;SD3neg;SD2neg;SD1neg;SD0;SD1;SD2;SD3;SD4
1484;-0,3763;15,3211;0,08264;12,006;12,726;13,173;13,419;13,81;14,082;14,499;15,321;16,209;16,715;17,07;17,615;17,982;18,705;20,04;11,124;12,088;13,051;14,124;15,321;16,663;18,172;19,876;21,579
1485;-0,3769;15,3206;0,08265;12,005;12,725;13,173;13,418;13,809;14,082;14,498;15,321;16,209;16,714;17,069;17,615;17,982;18,705;20,04;11,124;12,087;13,051;14,123;15,321;16,663;18,172;19,876;21,58
1486;-0,3776;15,3201;0,08266;12,005;12,725;13,172;13,418;13,809;14,081;14,498;15,32;16,208;16,714;17,069;17,615;17,982;18,705;20,041;11,124;12,087;13,05;14,123;15,32;16,662;18,172;19,876;21,581
1487;-0,3782;15,3196;0,08267;12,004;12,724;13,171;13,417;13,808;14,081;14,497;15,32;16,208;16,714;17,069;17,615;17,982;18,705;20,041;11,123;12,086;13,05;14,122;15,32;16,662;18,172;19,877;21,582
1488;-0,3789;15,3191;0,08268;12,004;12,723;13,171;13,417;13,808;14,08;14,497;15,319;16,207;16,713;17,069;17,615;17,982;18,705;20,042;11,123;12,086;13,049;14,121;15,319;16,662;18,172;19,877;21,583
1489;-0,3795;15,3186;0,08269;12,003;12,723;13,17;13,416;13,807;14,08;14,496;15,319;16,207;16,713;17,068;17,614;17,982;18,705;20,042;11,122;12,085;13,048;14,121;15,319;16,661;18,172;19,878;21,584
1490;-0,3801;15,3181;0,08271;12,002;12,722;13,169;13,415;13,806;14,079;14,495;15,318;16,207;16,713;17,068;17,615;17,982;18,706;20,044;11,121;12,084;13,048;14,12;15,318;16,661;18,172;19,879;21,586
1491;-0,3808;15,3176;0,08272;12,002;12,721;13,169;13,415;13,806;14,078;14,495;15,318;16,206;16,713;17,068;17,614;17,982;18,706;20,044;11,121;12,084;13,047;14,12;15,318;16,661;18,172;19,879;21,587
1492;-0,3815;15,3171;0,08273;12,001;12,721;13,168;13,414;13,805;14,078;14,494;15,317;16,206;16,712;17,068;17,614;17,982;18,706;20,045;11,12;12,083;13,047;14,119;15,317;16,66;18,172;19,88;21,588
1493;-0,3821;15,3166;0,08274;12,001;12,72;13,168;13,414;13,804;14,077;14,494;15,317;16,205;16,712;17,068;17,614;17,982;18,706;20,045;11,12;12,083;13,046;14,118;15,317;16,66;18,172;19,88;21,589
1494;-0,3828;15,3162;0,08275;12,001;12,72;13,167;13,413;13,804;14,077;14,493;15,316;16,205;16,712;17,067;17,614;17,982;18,707;20,046;11,12;12,083;13,045;14,118;15,316;16,66;18,172;19,881;21,59
1495;-0,3834;15,3157;0,08276;12;12,719;13,167;13,412;13,803;14,076;14,493;15,316;16,205;16,711;17,067;17,614;17,982;18,707;20,046;11,119;12,082;13,045;14,117;15,316;16,659;18,172;19,881;21,591
1496;-0,3841;15,3152;0,08277;12;12,719;13,166;13,412;13,803;14,076;14,492;15,315;16,204;16,711;17,067;17,614;17,982;18,707;20,047;11,119;12,081;13,044;14,117;15,315;16,659;18,172;19,882;21,592
1497;-0,3847;15,3147;0,08279;11,999;12,718;13,165;13,411;13,802;14,075;14,492;15,315;16,204;16,711;17,067;17,614;17,982;18,707;20,048;11,118;12,081;13,044;14,116;15,315;16,659;18,172;19,883;21,594
1498;-0,3854;15,3142;0,0828;11,998;12,717;13,165;13,411;13,802;14,074;14,491;15,314;16,204;16,711;17,067;17,614;17,982;18,708;20,049;11,117;12,08;13,043;14,116;15,314;16,659;18,172;19,883;21,595
1499;-0,3861;15,3137;0,08281;11,998;12,717;13,164;13,41;13,801;14,074;14,49;15,314;16,203;16,71;17,066;17,614;17,982;18,708;20,049;11,117;12,08;13,042;14,115;15,314;16,658;18,172;19,884;21,596
