Days;L;M;S;P01;P1;P3;P5;P10;P15;P25;P50;P75;P85;P90;P95;P97;P99;P999;SD4neg;SD3neg;SD2neg;SD1neg;SD0;SD1;SD2;SD3;SD4
254;-0,248;16,8095;0,08924;12,874;13,729;14,261;14,553;15,017;15,341;15,835;16,81;17,86;18,458;18,877;19,521;19,953;20,803;22,367;11,827;12,971;14,116;15,389;16,81;18,397;20,176;22,175;24,174
255;-0,2493;16,8063;0,08923;12,872;13,727;14,258;14,55;15,014;15,338;15,832;16,806;17,857;18,455;18,874;19,517;19,949;20,799;22,364;11,826;12,97;14,114;15,387;16,806;18,393;20,172;22,171;24,17
256;-0,2505;16,8031;0,08921;12,871;13,725;14,256;14,548;15,012;15,335;15,829;16,803;17,853;18,451;18,87;19,513;19,945;20,794;22,359;11,825;12,968;14,112;15,384;16,803;18,39;20,168;22,167;24,165
257;-0,2518;16,7999;0,0892;12,87;13,723;14,254;14,546;15,009;15,333;15,826;16,8;17,85;18,447;18,866;19,509;19,941;20,791;22,355;11,824;12,967;14,11;15,381;16,8;18,386;20,164;22,163;24,161
258;-0,2531;16,7967;0,08919;12,868;13,721;14,252;14,543;15,007;15,33;15,823;16,797;17,846;18,444;18,862;19,505;19,937;20,787;22,351;11,823;12,965;14,108;15,379;16,797;18,382;20,16;22,159;24,158
259;-0,2543;16,7934;0,08917;12,867;13,72;14,25;14,541;15,004;15,327;15,82;16,793;17,843;18,44;18,858;19,501;19,933;20,782;22,347;11,823;12,964;14,106;15,376;16,793;18,379;20,156;22,154;24,153
260;-0,2556;16,79;0,08916;12,865;13,718;14,248;14,539;15,002;15,324;15,817;16,79;17,839;18,436;18,854;19,497;19,929;20,778;22,343;11,821;12,962;14,103;15,373;16,79;18,375;20,152;22,15;24,149
261;-0,2568;16,7867;0,08915;12,864;13,716;14,245;14,536;14,999;15,322;15,814;16,787;17,835;18,432;18,851;19,493;19,925;20,774;22,339;11,82;12,961;14,101;15,37;16,787;18,371;20,148;22,146;24,144
262;-0,258;16,7833;0,08913;12,862;13,714;14,243;14,534;14,996;15,319;15,811;16,783;17,832;18,428;18,846;19,489;19,921;20,769;22,334;11,82;12,959;14,099;15,368;16,783;18,367;20,143;22,141;24,139
263;-0,2593;16,7799;0,08912;12,861;13,712;14,241;14,531;14,994;15,316;15,808;16,78;17,828;18,424;18,843;19,485;19,917;20,765;22,33;11,819;12,958;14,097;15,365;16,78;18,363;20,139;22,137;24,135
264;-0,2605;16,7764;0,08911;12,859;13,709;14,238;14,529;14,991;15,313;15,805;16,776;17,824;18,42;18,839;19,481;19,912;20,761;22,325;11,817;12,956;14,094;15,362;16,776;18,359;20,135;22,133;24,131
265;-0,2617;16,773;0,08909;12,858;13,707;14,236;14,526;14,988;15,31;15,802;16,773;17,82;18,416;18,834;19,476;19,908;20,756;22,32;11,817;12,954;14,092;15,359;16,773;18,355;20,131;22,128;24,126
266;-0,263;16,7695;0,08908;12,856;13,705;14,234;14,524;14,985;15,307;15,799;16,77;17,817;18,412;18,83;19,472;19,904;20,752;22,316;11,815;12,953;14,09;15,356;16,77;18,351;20,126;22,124;24,121
267;-0,2642;16,7659;0,08907;12,854;13,703;14,231;14,521;14,983;15,304;15,796;16,766;17,813;18,408;18,826;19,468;19,899;20,748;22,312;11,814;12,951;14,087;15,353;16,766;18,347;20,122;22,119;24,117
268;-0,2654;16,7624;0,08906;12,852;13,701;14,229;14,518;14,98;15,301;15,793;16,762;17,809;18,404;18,822;19,464;19,895;20,744;22,308;11,813;12,949;14,085;15,35;16,762;18,343;20,118;22,115;24,113
